x,y,dy/dx,d2y/dx2
-0.0019,-3.04,1600,0
-0.00171,-2.736,1600,0
-0.00152,-2.432,1600,0
-0.00133,-2.128,1600,0
-0.00114,-1.824,1600,0
-0.00095,-1.52,1600,0
-0.00076,-1.216,1600,0
-0.00057,-0.912,1600,0
-0.00038,-0.608,1600,0
-0.00019,-0.304,1600,0
0,0,1600,1.45519e-09
1.25013e-05,0.02,1599.51,-79860.4
2.47626e-05,0.039604,1598.02,-164003
3.67984e-05,0.0588235,1595.52,-251953
4.86228e-05,0.0776698,1592.01,-343176
6.0249e-05,0.0961535,1587.47,-437094
7.16898e-05,0.114285,1581.93,-533091
8.29575e-05,0.132074,1575.37,-630524
9.40637e-05,0.149529,1567.83,-728736
0.00010502,0.16666,1559.31,-827071
0.000115836,0.183476,1549.83,-924878
0.000126522,0.199983,1539.43,-1.02153e+06
0.000137088,0.21619,1528.14,-1.11643e+06
0.000147544,0.232105,1515.98,-1.20902e+06
0.000157897,0.247734,1502.99,-1.2988e+06
0.000168156,0.263083,1489.22,-1.38532e+06
0.000178329,0.278159,1474.71,-1.46817e+06
0.000188422,0.292968,1459.49,-1.54703e+06
0.000198443,0.307515,1443.61,-1.62165e+06
0.000208399,0.321805,1427.11,-1.6918e+06
0.000218295,0.335844,1410.04,-1.75737e+06
0.000228136,0.349635,1392.44,-1.81828e+06
0.00023793,0.363183,1374.35,-1.87449e+06
0.000247679,0.376492,1355.83,-1.92606e+06
0.000257389,0.389566,1336.89,-1.97305e+06
0.000267064,0.402408,1317.59,-2.0156e+06
0.000276708,0.41502,1297.97,-2.05385e+06
0.000286325,0.427407,1278.05,-2.08801e+06
0.000295918,0.439571,1257.87,-2.11828e+06
0.000305491,0.451514,1237.46,-2.1449e+06
0.000315044,0.463238,1216.86,-2.16812e+06
0.000324583,0.474746,1196.08,-2.18819e+06
0.000334108,0.486039,1175.15,-2.20538e+06
0.000343621,0.497119,1154.1,-2.21994e+06
0.000353126,0.507988,1132.94,-2.23215e+06
0.000362622,0.518646,1111.69,-2.24225e+06
0.000372112,0.529095,1090.37,-2.25049e+06
0.000381597,0.539335,1069,-2.25711e+06
0.000391077,0.549368,1047.57,-2.26233e+06
0.000400555,0.559195,1026.11,-2.26636e+06
0.00041003,0.568816,1004.62,-2.26939e+06
0.000419503,0.578231,983.112,-2.2716e+06
0.000428975,0.587441,961.588,-2.27316e+06
0.000438446,0.596446,940.053,-2.2742e+06
0.000447916,0.605246,918.512,-2.27486e+06
0.000457386,0.613843,896.967,-2.27524e+06
0.000466856,0.622235,875.42,-2.27544e+06
0.000476326,0.630423,853.872,-2.27553e+06
0.000485795,0.638407,832.323,-2.27555e+06
0.000495265,0.646187,810.774,-2.27556e+06
0.000504735,0.653762,789.226,-2.27556e+06
0.000514205,0.661134,767.677,-2.27555e+06
0.000523674,0.668302,746.128,-2.27553e+06
0.000533144,0.675265,724.58,-2.27544e+06
0.000542614,0.682025,703.033,-2.27524e+06
0.000552084,0.688581,681.488,-2.27486e+06
0.000561554,0.694933,659.947,-2.2742e+06
0.000571025,0.701081,638.412,-2.27316e+06
0.000580497,0.707026,616.888,-2.2716e+06
0.00058997,0.712768,595.379,-2.26939e+06
0.000599445,0.718307,573.89,-2.26636e+06
0.000608923,0.723645,552.429,-2.26233e+06
0.000618403,0.72878,531.004,-2.25711e+06
0.000627888,0.733715,509.626,-2.25049e+06
0.000637378,0.738451,488.307,-2.24225e+06
0.000646874,0.742987,467.06,-2.23215e+06
