frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
0, 43, 0.0828342, 0.0673353, 0.0591647, 0.0592556, 0.00780425, 0.0312873, 0.0073438, 0.00786524, 0.0101112, 0.00478144, 0.0307204, 0.0442885, 0.0129449, 0.014474, 0.0045977, 0.00620877, 0.015387, 0.0292997, 0.0212472, 0.0404985, 0.0350938, 0.0483079, 0.0418535, 0.0646357, 0.0843772, 0.0652196, 0.0892675, 0.0751892, 0.0623648, 0.039682, 0.033345, 0.0605921, 0.0248819, 0.0231976, 0.105654, 0.112475, 0.132852
1, 32, 0.084349, 0.0689663, 0.060736, 0.060697, 0.00778715, 0.0315353, 0.00524778, 0.00906114, 0.00792992, 0.00410511, 0.0256329, 0.0446152, 0.0127429, 0.0141202, 0.00321433, 0.00423698, 0.0154515, 0.0296241, 0.0229155, 0.0392866, 0.0331545, 0.0488827, 0.0424532, 0.0652699, 0.0855409, 0.0663108, 0.0906609, 0.0717676, 0.059133, 0.0454333, 0.0409552, 0.0688859, 0.025745, 0.0232989, 0.0996227, 0.105763, 0.126311
2, 33, 0.0855913, 0.070682, 0.0629578, 0.0626283, 0.00951565, 0.0325783, 0.00287342, 0.0108459, 0.00525552, 0.00329905, 0.0204368, 0.0446744, 0.0124475, 0.0136914, 0.00372231, 0.00300755, 0.0153685, 0.0300337, 0.0248393, 0.0382501, 0.0313264, 0.0497573, 0.0431881, 0.066177, 0.0870124, 0.0677611, 0.0923208, 0.0682693, 0.0558775, 0.0518418, 0.0488275, 0.0775006, 0.0282121, 0.0243217, 0.0950229, 0.100011, 0.121678
3, 34, 0.0867126, 0.0724729, 0.0656797, 0.0649293, 0.0123725, 0.0344669, 0.00143764, 0.0131468, 0.00195374, 0.00238796, 0.015367, 0.044342, 0.012124, 0.0131784, 0.0050134, 0.00258628, 0.0151615, 0.030509, 0.0268281, 0.0374044, 0.0296629, 0.0508436, 0.0439803, 0.0672642, 0.08869, 0.0694351, 0.0941298, 0.0648334, 0.0527302, 0.0587643, 0.0568826, 0.0864066, 0.0321582, 0.0263097, 0.0917746, 0.0952013, 0.11876
4, 35, 0.0878599, 0.0743464, 0.0687527, 0.0674839, 0.0157055, 0.0371308, 0.00424376, 0.015875, 0.00250801, 0.00190085, 0.0107033, 0.0437111, 0.011885, 0.0127098, 0.00633502, 0.00266716, 0.0148524, 0.0310324, 0.0286515, 0.0367648, 0.0282031, 0.0520621, 0.0447636, 0.0684438, 0.090469, 0.0712061, 0.0959786, 0.0616135, 0.0498249, 0.0661155, 0.0650999, 0.0956283, 0.0370926, 0.028972, 0.0897307, 0.0913587, 0.117301
5, 36, 0.0891285, 0.0762955, 0.072052, 0.0701945, 0.0191574, 0.0403889, 0.00808661, 0.0189318, 0.00723399, 0.00280409, 0.00699606, 0.0430026, 0.0118326, 0.0125277, 0.00754872, 0.00291552, 0.0144671, 0.0315948, 0.0301096, 0.0363545, 0.0269849, 0.0533589, 0.0455008, 0.0696426, 0.0922604, 0.0729745, 0.0977864, 0.058745, 0.0472708, 0.0738267, 0.0734722, 0.105185, 0.0424411, 0.0318676, 0.0886808, 0.0884801, 0.116999
6, 36, 0.0905391, 0.0782891, 0.0754915, 0.0729931, 0.0225835, 0.0440008, 0.0122583, 0.0222235, 0.0123955, 0.00458481, 0.00550764, 0.0424237, 0.0120368, 0.0128753, 0.00866045, 0.0031843, 0.0140489, 0.032202, 0.0310553, 0.0361944, 0.0260584, 0.0547109, 0.0461895, 0.0708151, 0.0940047, 0.0746734, 0.0995067, 0.0563246, 0.0451416, 0.0818146, 0.0819695, 0.11505, 0.0477142, 0.0345835, 0.0883758, 0.0864957, 0.117527
7, 37, 0.0920661, 0.0802869, 0.0790006, 0.07583, 0.0259506, 0.0477286, 0.0165485, 0.025665, 0.0176541, 0.00661108, 0.00677565, 0.0420832, 0.01254, 0.0138511, 0.00971372, 0.00343445, 0.0136573, 0.0328702, 0.031411, 0.0362786, 0.0254774, 0.0561157, 0.0468515, 0.0719471, 0.095688, 0.0762651, 0.101128, 0.0544051, 0.0434732, 0.0899702, 0.0905264, 0.125137, 0.0525479, 0.036821, 0.0885648, 0.0852734, 0.118573
8, 38, 0.0936805, 0.0822494, 0.082491, 0.0786491, 0.0292601, 0.0513804, 0.0208215, 0.0291749, 0.0227929, 0.00864671, 0.00902231, 0.0419656, 0.0133791, 0.015393, 0.0107927, 0.00366773, 0.0133563, 0.0336143, 0.0311835, 0.0365668, 0.0252702, 0.0575732, 0.0475137, 0.073052, 0.0973462, 0.0777338, 0.10267, 0.0530034, 0.0422711, 0.0981671, 0.0990451, 0.13532, 0.0566967, 0.0384184, 0.0890273, 0.0846502, 0.119864
9, 39, 0.0953567, 0.0841297, 0.0858519, 0.0813706, 0.0325057, 0.0548271, 0.024993, 0.0326745, 0.0277052, 0.010601, 0.0111431, 0.041896, 0.0146001, 0.0173846, 0.012004, 0.00390299, 0.0132033, 0.0344399, 0.0304582, 0.0370191, 0.0254334, 0.0590714, 0.0481947, 0.0741691, 0.0990459, 0.079076, 0.104159, 0.0521156, 0.0415264, 0.106271, 0.1074, 0.145443, 0.0600211, 0.0393387, 0.0895966, 0.084464, 0.121193
10, 44, 0.097059, 0.0858692, 0.0889662, 0.0838956, 0.0356572, 0.0579996, 0.0290095, 0.0360921, 0.0323549, 0.0124456, 0.0128928, 0.0414685, 0.016196, 0.0196815, 0.0133556, 0.0041469, 0.0132256, 0.0353336, 0.0293696, 0.0376229, 0.0259502, 0.06058, 0.0489006, 0.0753436, 0.100836, 0.0802914, 0.105612, 0.0517418, 0.0412399, 0.114138, 0.115437, 0.15532, 0.0624804, 0.039642, 0.0901659, 0.084573, 0.122417
11, 53, 0.098742, 0.0874159, 0.0917252, 0.0861347, 0.0386493, 0.0608707, 0.0328179, 0.0393537, 0.0366955, 0.0141589, 0.0146049, 0.0400282, 0.0178729, 0.0219374, 0.0144325, 0.00431041, 0.013382, 0.0362408, 0.0280762, 0.0383769, 0.0267941, 0.0620473, 0.049629, 0.0765791, 0.102689, 0.0813682, 0.10699, 0.0519189, 0.0414473, 0.121622, 0.122975, 0.164738, 0.0641377, 0.0394666, 0.0906897, 0.084867, 0.123467
12, 65, 0.10033, 0.0887339, 0.094029, 0.0880372, 0.0413551, 0.0634037, 0.0363099, 0.0423409, 0.0405797, 0.0156764, 0.0174249, 0.0370966, 0.0186598, 0.0232604, 0.0139177, 0.00411871, 0.0135194, 0.037023, 0.0267524, 0.0392621, 0.0279117, 0.063372, 0.0503708, 0.0777945, 0.104435, 0.0822567, 0.108155, 0.052751, 0.0422427, 0.128614, 0.129852, 0.173507, 0.0651622, 0.039025, 0.091216, 0.0853054, 0.124372
13, 75, 0.101632, 0.0897346, 0.0957492, 0.0895434, 0.0435911, 0.0654914, 0.0393024, 0.0448752, 0.0437535, 0.0168819, 0.0213887, 0.0338063, 0.0171571, 0.02229, 0.0101081, 0.00355365, 0.0134155, 0.0374633, 0.025549, 0.0402203, 0.0292201, 0.064369, 0.0510706, 0.0788317, 0.105796, 0.0828584, 0.108869, 0.0543448, 0.0437248, 0.135141, 0.136041, 0.181589, 0.065738, 0.0385376, 0.091938, 0.0859946, 0.125339
