[0.000000] (-) TimerEvent: {}
[0.000087] (-) JobUnselected: {'identifier': 'RBDL'}
[0.000170] (-) JobUnselected: {'identifier': 'a1_description'}
[0.000314] (-) JobUnselected: {'identifier': 'b2_description'}
[0.000383] (-) JobUnselected: {'identifier': 'body_force_estimator'}
[0.000464] (-) JobUnselected: {'identifier': 'conflict_based_search'}
[0.000491] (-) JobUnselected: {'identifier': 'force_applicator'}
[0.000524] (-) JobUnselected: {'identifier': 'gazebo_plugins'}
[0.000563] (-) JobUnselected: {'identifier': 'gazebo_scripts'}
[0.000577] (-) JobUnselected: {'identifier': 'global_body_planner'}
[0.000622] (-) JobUnselected: {'identifier': 'go1_description'}
[0.000643] (-) JobUnselected: {'identifier': 'go2_description'}
[0.000657] (-) JobUnselected: {'identifier': 'go2w_description'}
[0.000677] (-) JobUnselected: {'identifier': 'isaac_plugins'}
[0.000756] (-) JobUnselected: {'identifier': 'livox_ros_driver2'}
[0.000800] (-) JobUnselected: {'identifier': 'local_planner'}
[0.000814] (-) JobUnselected: {'identifier': 'mocap4r2_control'}
[0.000839] (-) JobUnselected: {'identifier': 'mocap4r2_control_msgs'}
[0.000859] (-) JobUnselected: {'identifier': 'mocap4r2_msgs'}
[0.000897] (-) JobUnselected: {'identifier': 'mocap4r2_optitrack_driver'}
[0.000946] (-) JobUnselected: {'identifier': 'mujoco_plugins'}
[0.000962] (-) JobUnselected: {'identifier': 'nmpc_controller'}
[0.001000] (-) JobUnselected: {'identifier': 'objects_description'}
[0.001014] (-) JobUnselected: {'identifier': 'quad_logger'}
[0.001059] (-) JobUnselected: {'identifier': 'quad_msgs'}
[0.001078] (-) JobUnselected: {'identifier': 'quad_perf_tests'}
[0.001092] (-) JobUnselected: {'identifier': 'quad_sim_scripts'}
[0.001501] (-) JobUnselected: {'identifier': 'robot_driver'}
[0.001523] (-) JobUnselected: {'identifier': 'sensor_description'}
[0.001536] (-) JobUnselected: {'identifier': 'spirit_description'}
[0.001550] (-) JobUnselected: {'identifier': 'spot_description'}
[0.001674] (-) JobUnselected: {'identifier': 'teleop_twist_joy'}
[0.001688] (-) JobUnselected: {'identifier': 'teleop_twist_keyboard'}
[0.001707] (-) JobUnselected: {'identifier': 'underbrush_description'}
[0.001794] (-) JobUnselected: {'identifier': 'unitree_sdk2'}
[0.001815] (-) JobUnselected: {'identifier': 'vision60_description'}
[0.001939] (quad_utils) JobQueued: {'identifier': 'quad_utils', 'dependencies': OrderedDict({'quad_msgs': '/home/rml_admin/ros2_ws/src/quad-sdk/install/quad_msgs'})}
[0.001981] (quad_utils) JobStarted: {'identifier': 'quad_utils'}
[0.008489] (quad_utils) JobEnded: {'identifier': 'quad_utils', 'rc': 1}
[0.018722] (-) EventReactorShutdown: {}
